artist,title,total_streams,bot_streams,flagged_days,total_days,max_spike_ratio,avg_rolling_cv,drop_after_spike_count,bot_pct,confidence,flag_reasons,note
Post Malone,Takin' Shots,79235614.0,0.0,0,68,1.0205245272162582,0.14494673485379708,0.0,0.0,3.1,—,
Post Malone,White Iverson,215508018.0,0.0,0,388,2.4956219605230987,0.16573010921952905,1.0,0.0,7.6,—,
Post Malone,Wow.,1322888639.0,10478582.0,2,634,2.6105159825404707,0.09075505550912044,1.0,0.8,8.0,"seasonal_spike, velocity_spike, plateau_low_variance","🚀 Release-window ramp — likely legitimate launch, not fraud"
Post Malone,Zack And Codeine,88781376.0,0.0,0,75,1.0565133933859263,0.14605756880381413,0.0,0.0,3.2,—,
Post Malone,rockstar (feat. 21 Savage),1384207188.0,0.0,0,887,1.4088154520526568,0.05785286033668095,0.0,0.0,4.2,—,
"Post Malone, 21 Savage",rockstar,284322871.0,0.0,0,83,1.0858992537636207,0.05350036210834686,0.0,0.0,3.3,—,
"Post Malone, Justin Bieber",Deja Vu,18634611.0,0.0,0,93,1.0784790400498676,0.055149315997627596,0.0,0.0,3.2,—,
"Post Malone, Quavo",Congratulations,1175902577.0,2318002.0,1,1012,2.6423887252952505,0.11445297739354275,1.0,0.2,8.0,—,
"Post Malone, Quavo, Future",Congratulations - Remix,5837537.0,0.0,0,28,1.091195170705874,0.07616073520283244,0.0,0.0,3.3,—,
"Post Malone, Roddy Ricch, Tyga",Wow. - Remix,47037264.0,0.0,0,67,1.2431316654074671,0.13606595761689483,0.0,0.0,3.7,—,
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,2235799191.0,5568334.0,1,736,1.8501926775802016,0.05639607567654442,0.0,0.2,5.6,—,
"Powfu, beabadoobee",death bed (coffee for your head),788450554.0,0.0,0,252,1.4426618717096944,0.06341579505559182,0.0,0.0,4.3,—,
Prince,Purple Rain,167673.0,0.0,0,1,0.9948263075143137,0.03594441434248985,0.0,0.0,3.0,—,
Prince Royce,El Clavo,20387534.0,0.0,0,35,1.1295063398006093,0.07658450115153571,0.0,0.0,3.4,—,
"Prince Royce, Shakira",Deja vu,11031011.0,0.0,0,23,1.0422460703270855,0.04571967584678047,0.0,0.0,3.1,—,
Pusha T,Come Back Baby,1523421.0,0.0,0,6,0.8066512839145381,0.8427178365591713,0.0,0.0,2.4,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Pusha T,If You Know You Know,8919655.0,0.0,0,18,1.2082463087263888,0.47401172719201473,0.0,0.0,3.6,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Pusha T,Infrared,1609583.0,0.0,0,6,0.5551302821279382,0.7920145573024274,0.0,0.0,1.7,—,
Pusha T,Santeria,1466954.0,0.0,0,6,0.8131583162358612,0.8350682762934064,0.0,0.0,2.4,—,
Pusha T,The Games We Play,2830820.0,0.0,0,11,1.0326392134283155,0.5511181273138267,0.0,0.0,3.1,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
"Pusha T, Kanye West",What Would Meek Do?,4115043.0,0.0,0,10,1.271545893904696,0.7467636783308345,0.0,0.0,3.8,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
"Pusha T, Rick Ross",Hard Piano,1526913.0,0.0,0,6,0.6088156416009516,0.833996684614064,0.0,0.0,1.8,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Quality Control,Baby (Lil Baby feat. DaBaby),205175688.0,0.0,0,306,1.1375488947003733,0.06645934570046863,0.0,0.0,3.4,—,
Quality Control,Big Rocks (Offset feat. Young Thug),6759970.0,0.0,0,26,1.0296153418779574,0.06137259834641749,0.0,0.0,3.1,—,
Quality Control,Double Trouble (Quavo feat. Meek Mill),492940.0,0.0,0,2,0.8888199861469224,0.11910778266532863,0.0,0.0,2.7,—,
Quality Control,"Pink Toes (Offset, DaBaby feat. Gunna)",1785436.0,0.0,0,7,1.0492319608509701,0.22559716299103966,0.0,0.0,3.1,—,
"Quality Control, Lil Baby, DaBaby",Baby,37765987.0,0.0,0,28,2.0827055857914925,0.17140940187661607,0.0,0.0,6.2,—,
"Quality Control, Migos",Stripper Bowl,1241268.0,0.0,0,5,0.8914031384919173,0.19144551485497338,0.0,0.0,2.7,—,
"Quality Control, Migos, Lil Yachty, Gucci Mane",Intro,457159.0,0.0,0,2,0.9233788118282917,0.09600877792902918,0.0,0.0,2.8,—,
"Quality Control, Quavo, Lil Yachty",Ice Tray,10275673.0,0.0,0,42,1.0765245814389095,0.060976279825546535,0.0,0.0,3.2,—,
Quavo,BIGGEST ALLEY OOP,2431337.0,0.0,0,5,0.7218849540940603,0.6692811253185603,0.0,0.0,2.2,—,
Quavo,CHAMPAGNE ROSÉ (feat. Madonna & Cardi B),197903.0,0.0,0,1,0.33868613221964694,1.0751590515928704,0.0,0.0,1.0,—,
Quavo,FLIP THE SWITCH (feat. Drake),7883087.0,0.0,0,12,0.903633879290821,0.5131785128233278,0.0,0.0,2.7,—,
Quavo,GIVE IT TO EM (feat. Saweetie),376241.0,0.0,0,2,0.35819059704782386,1.1770361094319042,0.0,0.0,1.1,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Quavo,HUNCHO DREAMS,662954.0,0.0,0,3,0.3829400751948908,1.1811649563038837,0.0,0.0,1.1,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
