artist,total_streams,bot_streams,flagged_days,total_days,years_active,max_spike_ratio,drop_events,bot_pct,confidence,flag_reasons,note,holiday_flag_share
Luke Bryan,27811000.0,0.0,0,119,3,1.3852239040967853,0.0,0.0,4.2,—,,0.0
Luke Combs,546752670.0,3477338.0,4,2119,5,2.4527735751777064,1.0,0.6,7.4,"seasonal_spike, velocity_spike, drop_after_spike",,0.0
Lunay,787065915.0,0.0,0,621,2,1.2308660973152266,0.0,0.0,3.7,—,,0.0
MAX,104566197.0,0.0,0,196,3,2.720656062276419,0.0,0.0,8.2,—,,0.0
MEDUZA,1004009308.0,0.0,0,795,3,1.557747137436449,0.0,0.0,4.7,—,,0.0
MERO,80383378.0,0.0,0,93,2,1.1773908082965217,0.0,0.0,3.5,—,,0.0
Mabel,602076847.0,0.0,0,443,3,1.5356441393424063,0.0,0.0,4.6,—,,0.0
Mac Miller,372799031.0,20831458.0,9,439,4,4.025045282665083,2.0,5.6,5.2,"seasonal_spike, velocity_spike",⚠️ Death/tribute spike detected — results may be inflated,0.0
Machine Gun Kelly,564955401.0,4872277.0,4,572,5,3.307187599213841,1.0,0.9,10.3,"velocity_spike, seasonal_spike, drop_after_spike",,0.0
Macklemore,199259477.0,1480205.0,2,181,5,2.009964130497967,0.0,0.7,6.5,—,,0.0
MadeinTYO,154774667.0,0.0,0,482,4,2.0962392560069363,0.0,0.0,6.3,—,,0.0
Madison Beer,217681593.0,0.0,0,242,4,2.4772364709397627,0.0,0.0,7.4,—,,0.0
Maggie Lindemann,287138381.0,0.0,0,161,2,1.991567257910734,0.0,0.0,6.0,—,,0.0
Major Lazer,977443279.0,0.0,0,1017,4,1.4921220147404348,0.0,0.0,4.5,—,,0.0
Maluma,2598494675.0,12261716.0,2,2293,5,1.9944282823721482,0.0,0.5,6.0,"seasonal_spike, plateau_low_variance",,0.0
Mambo Kingz,757492462.0,0.0,0,774,4,1.2439604168675333,0.0,0.0,3.7,—,,0.0
Manuel Turizo,1331114240.0,0.0,0,1283,5,1.767598089281281,0.0,0.0,5.3,—,,0.0
Maren Morris,1060617706.0,0.0,0,861,5,2.65855654818188,0.0,0.0,8.0,—,,0.0
Mark Ronson,585310638.0,207357.0,1,433,5,2.236846151081146,0.0,0.0,6.8,—,,0.0
Maroon 5,3267313622.0,2639712.0,1,1964,5,2.5867198937611904,1.0,0.1,7.8,—,,0.0
Marshmello,4286085739.0,4048126.0,1,2891,5,3.271443716309879,2.0,0.1,9.8,—,,0.0
Martin Garrix,1894729390.0,611696.0,1,1313,3,1.6464719234767344,0.0,0.0,5.0,—,,0.0
Martin Jensen,319701662.0,0.0,0,239,2,1.2259435261530487,0.0,0.0,3.7,—,,0.0
Mau y Ricky,571475784.0,0.0,0,604,2,1.21293302136215,0.0,0.0,3.6,—,,0.0
Mc Zaac,102810441.0,0.0,0,138,3,1.282979002702229,0.0,0.0,3.8,—,,0.0
Meek Mill,936078522.0,0.0,0,860,4,4.260176489560375,1.0,0.0,12.8,—,,0.0
Megan Thee Stallion,825193023.0,0.0,0,878,3,2.2418667231825458,0.0,0.0,6.7,—,,0.0
Melanie Martinez,225239538.0,0.0,0,171,2,2.247490535143269,1.0,0.0,6.9,—,,0.0
Metro Boomin,883935022.0,0.0,2,1356,5,2.222921300295248,1.0,0.0,2.0,—,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0
Michael Bublé,501314690.0,0.0,8,266,3,3.9666511127305846,0.0,0.0,3.9,velocity_spike,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0
Migos,2389242944.0,10283852.0,4,2747,5,3.981942515496371,3.0,0.4,12.0,"seasonal_spike, velocity_spike, plateau_low_variance",,0.25
Miguel,357561297.0,1698162.0,1,345,2,2.8591308840380183,0.0,0.5,8.7,velocity_spike,,0.0
Mike WiLL Made-It,59205158.0,0.0,0,246,3,1.2759558518627385,0.0,0.0,3.8,—,,0.0
Miley Cyrus,664456414.0,3325934.0,4,423,5,3.278204103587415,1.0,0.5,10.3,—,,0.0
Moneybagg Yo,26385349.0,0.0,0,105,2,1.1208100277956596,0.0,0.0,3.4,—,,0.0
Morgan Wallen,365094074.0,15063279.0,12,1137,4,3.718331941618327,1.0,4.1,11.6,"seasonal_spike, velocity_spike",,0.0
Murda Beatz,125188389.0,0.0,0,205,3,2.7801528852472943,0.0,0.0,8.3,—,,0.0
Mustard,1089614249.0,0.0,0,1043,4,2.28417846554655,0.0,0.0,6.9,—,,0.0
Myke Towers,1123853548.0,0.0,0,955,3,1.767598089281281,0.0,0.0,5.3,—,,0.0
NAV,495360001.0,656924.0,1,1116,4,3.0730229639014106,1.0,0.1,9.3,—,,0.0
NF,413772182.0,0.0,0,533,2,3.3817457721236646,6.0,0.0,10.5,—,,0.0
NLE Choppa,741975589.0,1092713.0,1,1066,3,2.544917395723642,1.0,0.1,7.7,"velocity_spike, seasonal_spike",,0.0
NOTD,123139367.0,0.0,0,130,2,1.3835335873527115,0.0,0.0,4.2,—,,0.0
Nacho,264064971.0,0.0,0,453,2,1.2398307139245417,0.0,0.0,3.7,—,,0.0
Nate Dogg,85126100.0,0.0,0,183,2,2.62512929486153,0.0,0.0,7.9,—,,0.0
Natti Natasha,1281933776.0,0.0,0,1286,4,1.297222697081768,0.0,0.0,3.9,—,,0.0
Niall Horan,448566399.0,175371.0,1,328,5,1.6871258553463566,0.0,0.0,5.2,—,,0.0
Nicki Minaj,2040416889.0,815171.0,1,1674,5,3.1856194449321777,1.0,0.0,9.6,—,,0.0
Nicky Jam,3499569035.0,0.0,0,2767,5,1.4845349495071176,0.0,0.0,4.5,—,,0.0
Nio Garcia,987818901.0,0.0,0,534,4,1.3543697973380473,0.0,0.0,4.1,—,,0.0
Nipsey Hussle,75396601.0,4049430.0,4,157,3,3.7068520078950664,1.0,5.4,4.9,"velocity_spike, seasonal_spike, drop_after_spike",⚠️ Death/tribute spike detected — results may be inflated,0.5
Noah Cyrus,440255832.0,0.0,0,503,5,3.0729549966591967,3.0,0.0,9.4,—,,0.0
Noriel,101359782.0,0.0,0,160,2,1.1292916153068584,0.0,0.0,3.4,—,,0.0
Normani,155530608.0,0.0,0,103,3,1.1988016363815706,0.0,0.0,3.6,—,,0.0
Oasis,355017720.0,0.0,0,585,5,1.3057544873029596,0.0,0.0,3.9,—,,0.0
Ofenbach,88404367.0,0.0,0,139,3,1.1859493074409904,0.0,0.0,3.6,—,,0.0
Offset,912176650.0,0.0,0,1138,4,2.567690102703715,1.0,0.0,7.7,—,,0.0
Old Dominion,88980169.0,0.0,0,364,4,1.4741449153595878,0.0,0.0,4.4,—,,0.0
Olivia Rodrigo,552440599.0,11165290.0,3,246,3,2.6449228122749475,0.0,2.0,8.4,seasonal_spike,,0.0
OneRepublic,699550748.0,0.0,0,590,5,1.4236310912774919,0.0,0.0,4.3,—,,0.0
Ozuna,6211991148.0,0.0,0,5206,5,1.7381956863954298,0.0,0.0,5.2,—,,0.0
P!nk,209280615.0,0.0,0,219,4,1.3520032156174184,0.0,0.0,4.1,—,,0.0
PARTYNEXTDOOR,281203762.0,0.0,0,395,4,2.1461614355158134,1.0,0.0,6.5,—,,0.0
Panic! At The Disco,1142766994.0,2289102.0,3,1017,4,3.9574136439540673,0.0,0.2,12.0,—,,0.0
Passenger,77213737.0,0.0,0,141,3,1.6345080014567015,0.0,0.0,4.9,—,,0.0
Paulo Londra,1156115949.0,0.0,0,1036,2,1.3368481311408686,0.0,0.0,4.0,—,,0.0
Pedro Capó,957806271.0,0.0,0,635,3,1.3560611235586644,0.0,0.0,4.1,—,,0.0
Pharrell Williams,203679743.0,0.0,0,318,4,1.1971523350759883,0.0,0.0,3.6,—,,0.0
Piso 21,827490888.0,0.0,0,992,4,1.2426540271527518,0.0,0.0,3.7,—,,0.0
Playboi Carti,419689884.0,3044677.0,1,645,5,2.4834665836863024,0.0,0.7,7.5,seasonal_spike,,0.0
PnB Rock,166238453.0,0.0,0,659,3,3.845918060139502,1.0,0.0,11.6,—,,0.0
Polo G,1015858724.0,1752246.0,2,1311,3,2.5800684279741426,0.0,0.2,7.8,velocity_spike,,0.0
Pop Smoke,1424249578.0,11672005.0,8,993,3,3.5554281323850208,2.0,0.8,4.4,"velocity_spike, seasonal_spike",⚠️ Death/tribute spike detected — results may be inflated,0.0
Portugal. The Man,319007908.0,0.0,0,320,5,2.499515782449928,0.0,0.0,7.5,—,,0.0
Post Malone,16912877286.0,191568199.0,29,10998,5,4.039402978904116,10.0,1.1,12.3,"seasonal_spike, plateau_low_variance, velocity_spike",,0.17
Powfu,788450554.0,0.0,0,252,2,1.4426618717096944,0.0,0.0,4.3,—,,0.0
Preme,480485330.0,0.0,0,265,2,1.4794244395995204,0.0,0.0,4.4,—,,0.0
Prince Royce,316128232.0,0.0,0,348,3,1.2439604168675333,0.0,0.0,3.7,—,,0.0
Punk,1044628169.0,7921088.0,4,614,4,1.8110176805258957,0.0,0.8,5.7,—,,0.0
Quality Control,263954121.0,0.0,0,418,3,2.0827055857914925,0.0,0.0,6.2,—,,0.0
Quavo,2621280467.0,3570616.0,4,2056,5,3.551554578126689,1.0,0.1,10.7,"velocity_spike, seasonal_spike",,0.0
Queen,2466769291.0,0.0,1,2474,5,2.5881834531148433,0.0,0.0,2.3,"velocity_spike, seasonal_spike","🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0
RAYE,470308034.0,0.0,0,454,3,1.2833146492192269,0.0,0.0,3.8,—,,0.0
ROSALÍA,1012314236.0,0.0,0,701,3,1.3467869366080696,0.0,0.0,4.0,—,,0.0
Rae Sremmurd,874144450.0,906876.0,1,924,3,3.965738675780423,2.0,0.1,12.0,—,,0.0
Rafa Pabön,580233605.0,0.0,0,562,2,1.3092581294142418,0.0,0.0,3.9,—,,0.0
Randy,525148846.0,0.0,0,347,5,1.2499094960271675,0.0,0.0,3.7,—,,0.0
Rauw Alejandro,1350679031.0,0.0,0,1238,4,1.767598089281281,0.0,0.0,5.3,—,,0.0
Regard,720460848.0,0.0,0,497,3,1.360949018501783,0.0,0.0,4.1,—,,0.0
Reik,795346314.0,0.0,0,729,3,1.3369760139376667,0.0,0.0,4.0,—,,0.0
Rich Music LTD,215501701.0,0.0,0,225,2,1.2686010018949092,0.0,0.0,3.8,—,,0.0
Rich The Kid,762300857.0,0.0,0,867,3,2.632259609823237,2.0,0.0,8.0,—,,0.0
Ricky Martin,141091709.0,0.0,0,213,2,1.1108502981530217,0.0,0.0,3.3,—,,0.0
Rihanna,579767836.0,0.0,1,735,3,2.636876379835138,0.0,0.0,2.4,—,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0
Rita Ora,791416539.0,0.0,0,663,3,1.5809308204490655,0.0,0.0,4.7,—,,0.0
Robin Schulz,451034516.0,0.0,0,504,5,1.325919702762241,0.0,0.0,4.0,—,,0.0
Rod Wave,155185096.0,0.0,0,322,2,2.8353309372716673,0.0,0.0,8.5,—,,0.0
Roddy Ricch,2248153551.0,38380526.0,8,1356,4,3.0082640020926488,3.0,1.7,9.3,"seasonal_spike, plateau_low_variance",,0.38
Romeo Santos,661051450.0,0.0,0,770,4,1.2285098431952604,0.0,0.0,3.7,—,,0.0
Rudimental,542415095.0,0.0,0,398,3,1.4874444703954506,0.0,0.0,4.5,—,,0.0
Russ,193366922.0,2837025.0,4,808,4,2.6738918703626906,2.0,1.5,8.3,"seasonal_spike, velocity_spike, drop_after_spike",,0.0
SAINt JHN,1046719162.0,0.0,0,326,3,1.3980271659477475,0.0,0.0,4.2,—,,0.0
SHAED,271833095.0,0.0,2,190,3,3.432009950659385,0.0,0.0,3.2,velocity_spike,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0
SZA,350235943.0,0.0,0,574,5,3.048879693091038,0.0,0.0,9.1,—,,0.0
Sabrina Carpenter,256869725.0,0.0,0,282,3,2.458675601812573,0.0,0.0,7.4,—,,0.0
Sam Feldt,220678306.0,0.0,0,198,2,2.410456326737204,0.0,0.0,7.2,—,,0.0
Sam Hunt,386516873.0,0.0,0,551,5,3.1523305743285595,1.0,0.0,9.5,—,,0.0
Sam Smith,2379446775.0,0.0,1,1817,5,2.1777214865791064,0.0,0.0,2.0,—,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0
Samra,145805695.0,0.0,0,165,2,1.0949777324136636,0.0,0.0,3.3,—,,0.0
Sandro Cavazza,180063011.0,0.0,0,169,3,1.3059505687219994,0.0,0.0,3.9,—,,0.0
Saweetie,143531247.0,1855253.0,1,268,3,2.397059350396668,0.0,1.3,7.3,"velocity_spike, seasonal_spike",,0.0
ScHoolboy Q,178020432.0,2249301.0,2,269,2,3.7320932208218727,0.0,1.3,11.5,seasonal_spike,,0.0
Sean Paul,410430217.0,0.0,0,462,3,1.4001809489690529,0.0,0.0,4.2,—,,0.0
Sebastian Yatra,1006450185.0,0.0,0,1297,5,1.3078455406644964,0.0,0.0,3.9,—,,0.0
Sech,2827540583.0,0.0,0,2281,3,1.7401537045862847,0.0,0.0,5.2,—,,0.0
Selena Gomez,2102976494.0,23365028.0,3,1253,5,1.8810408126152176,0.0,1.1,5.7,"seasonal_spike, plateau_low_variance",,0.0
Shakira,861055118.0,2405496.0,2,866,4,1.552219283431084,0.0,0.3,4.7,—,,0.0
Shawn Mendes,4376404743.0,34993935.0,5,2604,5,2.3515776690026207,0.0,0.8,7.1,"seasonal_spike, plateau_low_variance",,0.2
Sheck Wes,740300313.0,0.0,0,438,3,2.260791035677121,0.0,0.0,6.8,—,,0.0
Shelley FKA DRAM,223634535.0,0.0,0,282,2,2.0376251447792217,2.0,0.0,6.3,—,,0.0
Sia,1036353466.0,0.0,0,1093,5,2.231038585540413,0.0,0.0,6.7,—,,0.0
Silk City,241095870.0,0.0,0,185,2,1.3253914960136257,0.0,0.0,4.0,—,,0.0
Ski Mask The Slump God,330210868.0,0.0,0,648,3,2.1340797408928744,0.0,0.0,6.4,—,,0.0
Slim Jxmmi,326500541.0,906876.0,1,372,2,3.965738675780423,2.0,0.3,12.2,—,,0.0
Smokepurpp,62891628.0,0.0,0,194,3,2.513605807021454,0.0,0.0,7.5,—,,0.0
Snow,813361216.0,0.0,0,396,2,1.4499024863084162,0.0,0.0,4.3,—,,0.0
Social House,58302139.0,0.0,0,196,2,2.175618522534715,1.0,0.0,6.7,—,,0.0
Sofía Reyes,317963258.0,0.0,0,281,2,1.2554564842566804,0.0,0.0,3.8,—,,0.0
StaySolidRocky,366331632.0,4606947.0,4,169,2,3.18744983543256,0.0,1.3,10.5,velocity_spike,,0.0
Steve Aoki,270979909.0,0.0,0,204,2,1.1913640766359768,0.0,0.0,3.6,—,,0.0
Stormzy,193527412.0,0.0,0,201,3,1.2101847530467182,0.0,0.0,3.6,—,,0.0
Stunna 4 Vegas,124752589.0,0.0,0,216,2,2.268666560450597,0.0,0.0,6.8,—,,0.0
