artist,total_streams,bot_streams,flagged_days,total_days,years_active,debut_year,bot_pct
"XXXTENTACION, Lil Pump",78205487.0,3960095.0,3.0,153,2,2018,5.1
"Y2K, bbno$",136208164.0,452972.0,1.0,320,2,2019,0.3
YBN Nahmir,198382046.0,1621105.0,7.0,641,5,2017,0.8
YG,231692804.0,942236.0,7.0,573,3,2018,0.4
YNW Melly,751387356.0,21565921.0,18.0,1770,4,2018,2.9
Yo Gotti,62566501.0,0.0,0.0,218,4,2017,0.0
"Young Stoner Life, Young Thug, Gunna",91047383.0,1178113.0,1.0,249,2,2020,1.3
Young Thug,461608159.0,6183329.0,6.0,1200,5,2017,1.3
"Young Thug, Travis Scott",85255153.0,0.0,0.0,340,2,2017,0.0
YoungBoy Never Broke Again,285979836.0,2335718.0,5.0,1009,5,2017,0.8
ZAYN,41877133.0,430299.0,2.0,147,5,2017,1.0
"ZAYN, Sia",64245933.0,764030.0,1.0,157,2,2017,1.2
"ZAYN, Taylor Swift",149421297.0,230344.0,1.0,358,2,2017,0.2
Zac Brown Band,24611683.0,2249364.0,5.0,105,4,2018,9.1
"Zac Efron, Zendaya",44595735.0,1002880.0,4.0,135,2,2017,2.2
Zara Larsson,62369673.0,463264.0,1.0,229,3,2017,0.7
Zedd,190699223.0,0.0,0.0,413,2,2017,0.0
"Zedd, Maren Morris, Grey",223089475.0,4620876.0,5.0,560,4,2018,2.1
benny blanco,416900341.0,3192901.0,7.0,998,4,2018,0.8
blackbear,482309891.0,2164451.0,10.0,1345,5,2017,0.4
iann dior,46053168.0,379912.0,1.0,140,2,2020,0.8
