artist,genre_category
Cinnamon Chasers,Other
Cj Hooper,Other
Clairo,Pop
Clamavi De Profundis,Other
Clams Casino,Hip Hop / Rap
Clara La San,Other
Clean Bandit,Other
Cliff Martinez,Other
Clint Black,Country
Clint Mansell,Other
Clinton Kane,Other
Cloud,Other
Clouded.,EDM / Electronic
Cobra Starship,Other
Cody Johnson,Country
Coi Leray,Other
Cokasian,Other
Coldplay,Other
Cole Swindell,Country
College,Other
Collosia,Other
Colm R. McGuinness,Other
Colt Ford,Hip Hop / Rap
Com Truise,Other
Commma,Other
ConKi,Other
Conan Gray,Other
Conway Twitty,Country
Coolio,Hip Hop / Rap
Corbin Bleu,Other
Cordae,Other
Corena,Other
Cour,EDM / Electronic
Craig Morgan,Country
Crazy Frog,Other
Creed,Other
Creedence Clearwater Revival,Rock / Alternative
Crouch End Festival Chorus,Other
Crowded House,Other
Crystal Castles,EDM / Electronic
Crystal Rock,EDM / Electronic
Cults,Other
Curawaka,Other
Curos,Other
Current Joys,Rock / Alternative
Cutting Crew,Other
Cwby,Other
Cyn,Other
Cyndi Lauper,Other
Cynthia Erivo,Other
Cypress Hill,Hip Hop / Rap
Cécile Corbel,Other
Cœur De Pirate,Pop
D'Angelo,R&B / Soul
D-Block Europe,Other
D4WNATELLO,Other
DDG,Other
DJ Fresh,Other
DJ Gotta,Other
DJ Japa NK,Other
DJ Khaled,Other
DJ Khamel,Other
DJ Snake,Other
DJ Tec,Other
DJSM,EDM / Electronic
DMX,Hip Hop / Rap
DNA,Other
DNCE,Other
DNMO,Other
DRAM,Other
DVBBS,EDM / Electronic
DVNY,Other
DaBaby,Other
Daddy Yankee,Latin
Daft Punk,EDM / Electronic
Damien Rice,Other
Dan + Shay,Country
Dan Auerbach,Rock / Alternative
Dan Romer,Other
Dana Fuchs,Other
Dance Fruits Music,EDM / Electronic
Danheim,Other
Daniel Caesar,Other
Daniel Di Angelo,R&B / Soul
Daniel Lanois,Other
Daniel Licht,Other
Daniel Powter,Other
Daniele Luppi,Other
Danit,Other
Danny Elfman,Other
Darci,R&B / Soul
Dario Marianelli,Other
